Date,Open,High,Low,Close,Volume,Adj Close
2000-08-02,158.1,158.1,158.1,158.1,0,191.43
2000-08-01,163.79,163.79,163.79,163.79,0,198.32
2000-07-31,167.77,167.77,167.77,167.77,0,203.14
2000-07-28,159.41,159.41,159.41,159.41,0,193.02
2000-07-27,165.78,165.78,165.78,165.78,0,200.73
2000-07-26,172.89,172.89,172.89,172.89,0,209.34
2000-07-25,170.33,170.33,170.33,170.33,0,206.24
2000-07-24,171.75,171.75,171.75,171.75,0,207.96
2000-07-21,168.34,168.34,168.34,168.34,0,203.83
2000-07-20,174.59,174.59,174.59,174.59,0,211.4
2000-07-19,177.44,177.44,177.44,177.44,0,214.85
2000-07-18,172.89,172.89,172.89,172.89,0,209.34
2000-07-17,179.6,179.6,179.6,179.6,0,217.46
2000-07-14,174.03,174.03,174.03,174.03,0,210.71
2000-07-13,174.59,174.59,174.59,174.59,0,211.4
2000-07-12,177.72,177.72,177.72,177.72,0,215.19
2000-07-11,172.89,172.89,172.89,172.89,0,209.34
2000-07-10,178.75,178.75,178.75,178.75,0,216.43
2000-07-07,181.99,181.99,181.99,181.99,0,220.36
2000-07-06,177.44,177.44,177.44,177.44,0,214.85
2000-07-05,168.91,168.91,168.91,168.91,0,204.52
2000-07-04,164.64,164.64,164.64,164.64,0,199.35
2000-07-03,166.63,166.63,166.63,166.63,0,201.76
2000-06-30,151.85,151.85,151.85,151.85,0,183.86
2000-06-29,150.14,150.14,150.14,150.14,0,181.79
2000-06-28,162.65,162.65,162.65,162.65,0,196.94
2000-06-27,169.19,169.19,169.19,169.19,132798100,204.86
2000-06-26,168.91,168.91,168.91,168.91,0,204.52
2000-06-23,167.94,167.94,167.94,167.94,0,203.35
2000-06-22,175.45,175.45,175.45,175.45,0,212.44
2000-06-21,178.58,178.58,178.58,178.58,0,216.22
2000-06-20,182.44,182.44,182.44,182.44,0,220.91
2000-06-19,177.32,177.32,177.32,177.32,0,214.71
2000-06-16,184.83,184.83,184.83,184.83,0,223.8
2000-06-15,181.99,181.99,181.99,181.99,0,220.36
2000-06-14,186.25,186.25,186.25,186.25,0,225.52
2000-06-13,180.85,180.85,180.85,180.85,0,218.98
2000-06-12,180.28,180.28,180.28,180.28,0,218.29
2000-06-09,177.44,177.44,177.44,177.44,0,214.85
2000-06-08,179.71,179.71,179.71,179.71,0,217.6
2000-06-07,183.98,183.98,183.98,183.98,0,222.77
2000-06-06,184.26,184.26,184.26,184.26,0,223.11
2000-06-05,184.83,184.83,184.83,184.83,0,223.8
2000-06-02,190.52,190.52,190.52,190.52,0,230.29
2000-06-01,179.14,179.14,179.14,179.14,0,216.54
2000-05-31,173.46,173.46,173.46,173.46,0,209.67
2000-05-30,171.75,171.75,171.75,171.75,0,207.61
2000-05-29,159.98,159.98,159.98,159.98,0,193.38
2000-05-26,159.98,159.98,159.98,159.98,0,193.38
2000-05-25,163.22,163.22,163.22,163.22,0,197.29
2000-05-24,150.03,150.03,150.03,150.03,0,181.35
2000-05-23,147.01,147.01,147.01,147.01,0,177.7
2000-05-22,137.8,137.8,137.8,137.8,0,166.57
2000-05-19,137.91,137.91,137.91,137.91,0,166.7
2000-05-18,150.88,150.88,150.88,150.88,0,182.38
2000-05-17,148.6,148.6,148.6,148.6,0,179.63
2000-05-16,155.26,155.26,155.26,155.26,0,187.67
2000-05-15,158.27,158.27,158.27,158.27,0,191.31
2000-05-12,158.1,158.1,158.1,158.1,0,191.11
2000-05-11,153.84,153.84,153.84,153.84,0,185.95
2000-05-10,145.02,145.02,145.02,145.02,0,175.3
2000-05-09,143.49,143.49,143.49,143.49,0,173.44
2000-05-08,152.02,152.02,152.02,152.02,0,183.75
2000-05-05,157.42,157.42,157.42,157.42,0,190.28
2000-05-04,152.7,152.7,152.7,152.7,0,184.58
2000-05-03,153.44,153.44,153.44,153.44,0,185.47
2000-05-02,163.96,163.96,163.96,163.96,0,198.19
2000-05-01,167.49,167.49,167.49,167.49,0,202.45
2000-04-28,167.49,167.49,167.49,167.49,0,202.45
2000-04-27,158.84,158.84,158.84,158.84,0,192
2000-04-26,158.56,158.56,158.56,158.56,0,191.66
2000-04-25,158.95,158.95,158.95,158.95,0,192.14
2000-04-24,171.35,171.35,171.35,171.35,0,207.13
2000-04-21,171.35,171.35,171.35,171.35,0,207.13
2000-04-20,171.35,171.35,171.35,171.35,0,207.13
2000-04-19,180.17,180.17,180.17,180.17,0,217.78
2000-04-18,172.32,172.32,172.32,172.32,0,208.29
2000-04-17,162.54,162.54,162.54,162.54,0,196.47
2000-04-14,170.78,170.78,170.78,170.78,0,206.44
2000-04-13,183.98,183.98,183.98,183.98,0,222.39
2000-04-12,177.72,177.72,177.72,177.72,0,214.82
2000-04-11,178.01,178.01,178.01,178.01,0,215.17
2000-04-10,192.39,192.39,192.39,192.39,0,232.56
2000-04-07,202.18,202.18,202.18,202.18,0,244.38
2000-04-06,195.07,195.07,195.07,195.07,0,235.79
2000-04-05,181.42,181.42,181.42,181.42,0,219.29
2000-04-04,182.84,182.84,182.84,182.84,0,221.01
2000-04-03,190.23,190.23,190.23,190.23,0,229.95
2000-03-31,198.2,198.2,198.2,198.2,0,239.57
2000-03-30,197.8,197.8,197.8,197.8,0,239.09
2000-03-29,202.35,202.35,202.35,202.35,0,244.59
2000-03-28,207.18,207.18,207.18,207.18,0,250.43
2000-03-27,207.29,207.29,207.29,207.29,0,250.57
2000-03-24,209.46,209.46,209.46,209.46,0,253.18
2000-03-23,210.02,210.02,210.02,210.02,0,253.87
2000-03-22,209.17,209.17,209.17,209.17,0,252.84
2000-03-21,214.97,214.97,214.97,214.97,0,259.85
2000-03-20,216.39,216.39,216.39,216.39,0,261.57
2000-03-17,210.31,210.31,210.31,210.31,0,254.21
2000-03-16,200.07,200.07,200.07,200.07,0,241.84
2000-03-15,203.48,203.48,203.48,203.48,0,245.97
2000-03-14,212.3,212.3,212.3,212.3,0,256.62
2000-03-13,213.72,213.72,213.72,213.72,0,258.34
2000-03-10,218.27,218.27,218.27,218.27,0,263.84
2000-03-09,219.12,219.12,219.12,219.12,0,264.87
2000-03-08,215.26,215.26,215.26,215.26,0,260.2
2000-03-07,218.67,218.67,218.67,218.67,0,264.32
2000-03-06,226.92,226.92,226.92,226.92,0,274.29
2000-03-03,210.14,210.14,210.14,210.14,0,254.01
2000-03-02,201.89,201.89,201.89,201.89,0,244.04
2000-03-01,200.36,200.36,200.36,200.36,0,242.18
2000-02-29,202.06,202.06,202.06,202.06,0,244.25
2000-02-28,194.95,194.95,194.95,194.95,0,235.65
2000-02-25,205.76,205.76,205.76,205.76,0,248.72
2000-02-24,200.75,200.75,200.75,200.75,0,242.67
2000-02-23,198.37,198.37,198.37,198.37,0,239.78
2000-02-22,195.64,195.64,195.64,195.64,0,236.48
2000-02-21,176.58,176.58,176.58,176.58,0,213.45
2000-02-18,180,180,180,180,0,217.57
2000-02-17,183.41,183.41,183.41,183.41,0,221.7
